link_distance,coords,IPs
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
5695.059925783691,"[(43.6644, -79.4195), (51.5353, -0.6658)]",
5730.350490784158,"[(43.6644, -79.4195), (51.5074, -0.12775799999999998)]",
5585.236346379032,"[(40.7128, -74.006), (51.5074, -0.12775799999999998)]",
112.81460935647254,"[(39.9648, -74.9045), (40.7128, -74.006)]",
2562.443364603948,"[(39.7392, -104.99), (39.9648, -74.9045)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
5.712044706735426,"[(48.8566, 2.35222), (48.9067, 2.36939)]",
7312.521640086849,"[(26.3955, -80.0771), (48.8566, 2.35222)]",
7312.521640086849,"[(26.3955, -80.0771), (48.8566, 2.35222)]",
6202.101268386315,"[(39.0438, -77.4874), (48.8566, 2.35222)]",
2361.207122370022,"[(39.0438, -77.4874), (39.7392, -104.99)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
5999.343955340147,"[(43.6644, -79.4195), (52.373999999999995, 4.8897)]",
5999.867503048682,"[(43.6644, -79.4195), (52.3702, 4.895169999999999)]",
1874.960566554425,"[(38.691, -9.3108), (52.3702, 4.895169999999999)]",
5421.96167792588,"[(38.691, -9.3108), (40.7414, -74.0032)]",
1.2717808915976165,"[(40.7308, -73.9975), (40.7414, -74.0032)]",
352.36328515745373,"[(39.0438, -77.4874), (40.7308, -73.9975)]",
2361.207122370022,"[(39.0438, -77.4874), (39.7392, -104.99)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
15011.717635064088,"[(1.32123, 103.695), (43.6644, -79.4195)]",
15007.528013775469,"[(1.35208, 103.82), (43.6644, -79.4195)]",
2572.310914904373,"[(1.35208, 103.82), (22.2798, 114.171)]",
11185.099319262194,"[(22.2798, 114.171), (37.3382, -121.88600000000001)]",
4030.2927436021723,"[(27.2621, -80.3835), (37.3382, -121.88600000000001)]",
1747.9546898217825,"[(27.2621, -80.3835), (41.8528, -87.6228)]",
1090.766852774383,"[(39.9648, -74.9045), (41.8528, -87.6228)]",
2562.443364603948,"[(39.7392, -104.99), (39.9648, -74.9045)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
6.846012546275196,"[(-33.9256, 151.1906), (-33.8649, 151.204)]",
12063.314604452276,"[(-33.8649, 151.204), (34.0522, -118.244)]",
2369.041959343185,"[(34.0522, -118.244), (34.7386, -92.4231)]",
1653.4976512527137,"[(34.7386, -92.4231), (39.9648, -74.9045)]",
1090.766852774383,"[(39.9648, -74.9045), (41.8528, -87.6228)]",
1481.7203550937777,"[(39.7392, -104.99), (41.8528, -87.6228)]",
2361.207122370022,"[(39.0438, -77.4874), (39.7392, -104.99)]",
340.0806177384188,"[(39.0438, -77.4874), (40.7357, -74.1724)]",
340.0806177384188,"[(39.0438, -77.4874), (40.7357, -74.1724)]",
340.0806177384188,"[(39.0438, -77.4874), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
8192.50567374983,"[(35.6882, 139.7532), (59.3293, 18.0686)]",
8189.5789683145495,"[(35.709, 139.732), (59.3293, 18.0686)]",
8351.377972028715,"[(35.709, 139.732), (37.3382, -121.88600000000001)]",
11181.593006129133,"[(22.2678, 114.236), (37.3382, -121.88600000000001)]",
12558.80668898556,"[(22.2678, 114.236), (41.8528, -87.6228)]",
1090.766852774383,"[(39.9648, -74.9045), (41.8528, -87.6228)]",
2562.443364603948,"[(39.7392, -104.99), (39.9648, -74.9045)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
13314.980420447277,"[(12.9721, 77.5933), (43.6644, -79.4195)]",
842.9850535157003,"[(12.9721, 77.5933), (19.076, 72.8777)]",
7199.595847999589,"[(19.076, 72.8777), (51.5074, -0.12775799999999998)]",
5583.425096457891,"[(40.7308, -73.9975), (51.5074, -0.12775799999999998)]",
352.36328515745373,"[(39.0438, -77.4874), (40.7308, -73.9975)]",
2361.207122370022,"[(39.0438, -77.4874), (39.7392, -104.99)]",
2611.3403222072943,"[(39.7392, -104.99), (40.7357, -74.1724)]",
1186.8939694138692,"[(33.9526, -84.5499), (40.7357, -74.1724)]",
989.7790664313885,"[(33.9526, -84.5499), (41.5066, -90.5301)]",
237.90704964591168,"[(41.5066, -90.5301), (42.176, -87.809)]",
479.2401525867921,"[(48.8566, 2.35222), (50.1109, 8.68213)]",
6202.101268386315,"[(39.0438, -77.4874), (48.8566, 2.35222)]",
6202.101268386315,"[(39.0438, -77.4874), (48.8566, 2.35222)]",
5812.602706630442,"[(41.0267, -73.7155), (48.8566, 2.35222)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
536.9243561626506,"[(40.8364, -74.1403), (43.6644, -79.4195)]",
700.2943033046995,"[(41.8781, -87.6298), (43.6644, -79.4195)]",
1132.905516634373,"[(40.7357, -74.1724), (41.8781, -87.6298)]",
18.95539470947175,"[(40.7357, -74.1724), (40.7903, -73.9597)]",
17.60680857164517,"[(40.7641, -74.1654), (40.7903, -73.9597)]",
123.82363098096351,"[(39.9526, -75.1652), (40.7641, -74.1654)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
6.857442448944248,"[(25.7617, -80.1918), (25.8119, -80.2318)]",
1491.2095983561853,"[(25.7617, -80.1918), (39.0107, -77.469)]",
390.819421472838,"[(39.0107, -77.469), (41.0267, -73.7155)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
2.156613651920222,"[(32.7787, -96.8217), (32.7889, -96.8021)]",
1.4348673586432068,"[(32.7767, -96.79700000000001), (32.7889, -96.8021)]",
2091.458822661462,"[(32.7767, -96.79700000000001), (39.9526, -75.1652)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
3647.6612509608276,"[(37.7353, -122.3732), (43.6644, -79.4195)]",
700.2943033046995,"[(41.8781, -87.6298), (43.6644, -79.4195)]",
2964.553235398807,"[(37.3382, -121.88600000000001), (41.8781, -87.6298)]",
4031.1548241923024,"[(37.3382, -121.88600000000001), (39.9526, -75.1652)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
15.021500776969537,"[(47.5579, -122.1633), (47.6144, -122.3447)]",
3732.913733249041,"[(38.9072, -77.0369), (47.5579, -122.1633)]",
2406.3329706166337,"[(38.9072, -77.0369), (39.9241, -105.0639)]",
2646.811714123333,"[(39.9241, -105.0639), (41.0267, -73.7155)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
3.5984244460174937,"[(43.6446, -79.3842), (43.6644, -79.4195)]",
702.5375157423567,"[(41.8536, -87.6183), (43.6446, -79.3842)]",
1069.2793560410228,"[(39.9526, -75.1652), (41.8536, -87.6183)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
5695.059925783691,"[(43.6644, -79.4195), (51.5353, -0.6658)]",
5730.350490784158,"[(43.6644, -79.4195), (51.5074, -0.12775799999999998)]",
5585.236346379032,"[(40.7128, -74.006), (51.5074, -0.12775799999999998)]",
129.724928189055,"[(39.9526, -75.1652), (40.7128, -74.006)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
5.712044706735426,"[(48.8566, 2.35222), (48.9067, 2.36939)]",
343.922311710253,"[(48.8566, 2.35222), (51.5074, -0.12775799999999998)]",
5594.604178506626,"[(40.7357, -74.1724), (51.5074, -0.12775799999999998)]",
18.95539470947175,"[(40.7357, -74.1724), (40.7903, -73.9597)]",
4.577011898570405,"[(40.7494, -73.9664), (40.7903, -73.9597)]",
37.35540809404806,"[(40.7494, -73.9664), (41.0267, -73.7155)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
5999.343955340147,"[(43.6644, -79.4195), (52.373999999999995, 4.8897)]",
5999.867503048682,"[(43.6644, -79.4195), (52.3702, 4.895169999999999)]",
0.39181705420534746,"[(52.3667, 4.89454), (52.3702, 4.895169999999999)]",
358.3093143470653,"[(51.5074, -0.12775799999999998), (52.3667, 4.89454)]",
5932.6963107484735,"[(39.0438, -77.4874), (51.5074, -0.12775799999999998)]",
6202.101268386315,"[(39.0438, -77.4874), (48.8566, 2.35222)]",
5982.359320560105,"[(39.9526, -75.1652), (48.8566, 2.35222)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
15011.717635064088,"[(1.32123, 103.695), (43.6644, -79.4195)]",
15007.528013775469,"[(1.35208, 103.82), (43.6644, -79.4195)]",
2572.310914904373,"[(1.35208, 103.82), (22.2798, 114.171)]",
11185.099319262194,"[(22.2798, 114.171), (37.3382, -121.88600000000001)]",
25.50322221246845,"[(37.3382, -121.88600000000001), (37.4419, -122.14299999999999)]",
4048.9521153296546,"[(37.4419, -122.14299999999999), (39.9526, -75.1652)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
6.846012546275196,"[(-33.9256, 151.1906), (-33.8649, 151.204)]",
12063.314604452276,"[(-33.8649, 151.204), (34.0522, -118.244)]",
2196.522107658911,"[(29.6968, -95.5446), (34.0522, -118.244)]",
2338.308250650119,"[(29.6968, -95.5446), (41.0267, -73.7155)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
8192.50567374983,"[(35.6882, 139.7532), (59.3293, 18.0686)]",
8189.5789683145495,"[(35.709, 139.732), (59.3293, 18.0686)]",
8830.291829660526,"[(34.0522, -118.244), (35.709, 139.732)]",
2196.522107658911,"[(29.6968, -95.5446), (34.0522, -118.244)]",
2338.308250650119,"[(29.6968, -95.5446), (41.0267, -73.7155)]",
171.26067772927374,"[(39.9526, -75.1652), (41.0267, -73.7155)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
13314.980420447277,"[(12.9721, 77.5933), (43.6644, -79.4195)]",
842.9850535157003,"[(12.9721, 77.5933), (19.076, 72.8777)]",
7199.595847999589,"[(19.076, 72.8777), (51.5074, -0.12775799999999998)]",
5572.28698742339,"[(40.68, -73.775), (51.5074, -0.12775799999999998)]",
143.1294505112307,"[(39.9526, -75.1652), (40.68, -73.775)]",
179.5533729421406,"[(39.9526, -75.1652), (41.1696, -73.7692)]",
479.2401525867921,"[(48.8566, 2.35222), (50.1109, 8.68213)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
929.6991584986209,"[(33.9149, -84.3446), (41.8781, -87.6298)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
1147.017846732837,"[(40.7234, -74.0054), (41.8781, -87.6298)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
929.6991584986209,"[(33.9149, -84.3446), (41.8781, -87.6298)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
5.51462261152504,"[(25.7617, -80.1918), (25.7975, -80.23)]",
4114.157342818166,"[(25.7617, -80.1918), (37.2414, -121.78299999999999)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
1294.6459373252585,"[(32.7767, -96.79700000000001), (41.8781, -87.6298)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
929.6991584986209,"[(33.9149, -84.3446), (41.8781, -87.6298)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
4135.345540729686,"[(37.5272, -122.26100000000001), (40.7234, -74.0054)]",
52.89755002190521,"[(37.2414, -121.78299999999999), (37.5272, -122.26100000000001)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
3875.612974892549,"[(40.7128, -74.0059), (47.6062, -122.33200000000001)]",
3908.4462957525056,"[(32.7405, -117.0935), (40.7128, -74.0059)]",
3908.4378470531324,"[(32.7405, -117.0935), (40.7128, -74.006)]",
3908.4378470531324,"[(32.7405, -117.0935), (40.7128, -74.006)]",
3038.989096360401,"[(32.7405, -117.0935), (33.9149, -84.3446)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
550.7793252340342,"[(40.7234, -74.0054), (43.6493, -79.3912)]",
3625.3111434799466,"[(37.2414, -121.78299999999999), (43.6493, -79.3912)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
5587.1376416009125,"[(40.7234, -74.0054), (51.5098, -0.08583500000000001)]",
8659.942302239566,"[(37.2414, -121.78299999999999), (51.5098, -0.08583500000000001)]",
